1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,country_mean,prod_levels
1650000.0,1640000.0,1650000.0,1600000.0,1660000.0,1660000.0,1680000.0,1680000.0,1690000.0,1670000.0,1670000.0,1690000.0,1660000.0,1630000.0,1650000.0,1630000.0,1650000.0,1670000.0,1700000.0,1690000,1661000.0,top producer
886000.0,895000.0,912000.0,941000.0,992000.0,1070000.0,1100000.0,1090000.0,1080000.0,1060000.0,1060000.0,1090000.0,1170000.0,1320000.0,1490000.0,1620000.0,1730000.0,1820000.0,1990000.0,2080000,1269800.0,top producer
1290000.0,1220000.0,1140000.0,1060000.0,991000.0,968000.0,965000.0,933000.0,940000.0,962000.0,978000.0,1010000.0,1050000.0,1120000.0,1170000.0,1200000.0,1230000.0,1240000.0,1250000.0,1180000,1094850.0,top producer
370000.0,466000.0,480000.0,473000.0,464000.0,467000.0,472000.0,467000.0,482000.0,445000.0,479000.0,470000.0,440000.0,515000.0,553000.0,581000.0,576000.0,555000.0,579000.0,528000,493100.0,top producer
292000.0,302000.0,306000.0,310000.0,321000.0,336000.0,342000.0,353000.0,352000.0,359000.0,366000.0,375000.0,384000.0,396000.0,410000.0,422000.0,438000.0,453000.0,468000.0,503000,374400.0,top producer
274000.0,285000.0,294000.0,316000.0,339000.0,349000.0,358000.0,365000.0,365000.0,364000.0,373000.0,377000.0,384000.0,386000.0,398000.0,401000.0,411000.0,416000.0,406000.0,390000,362550.0,top producer
179000.0,196000.0,202000.0,215000.0,218000.0,224000.0,225000.0,226000.0,230000.0,257000.0,267000.0,260000.0,265000.0,295000.0,307000.0,318000.0,329000.0,345000.0,345000.0,350000,262650.0,top producer
169000.0,183000.0,188000.0,195000.0,208000.0,216000.0,225000.0,229000.0,231000.0,244000.0,236000.0,242000.0,248000.0,255000.0,265000.0,280000.0,314000.0,318000.0,324000.0,352000,246100.0,top producer
208000.0,215000.0,215000.0,223000.0,245000.0,258000.0,269000.0,268000.0,272000.0,282000.0,273000.0,262000.0,258000.0,247000.0,226000.0,205000.0,187000.0,177000.0,167000.0,159000,230800.0,top producer
158000.0,167000.0,172000.0,175000.0,174000.0,187000.0,190000.0,201000.0,217000.0,214000.0,234000.0,254000.0,264000.0,264000.0,269000.0,280000.0,282000.0,299000.0,301000.0,311000,230650.0,top producer
195000.0,202000.0,202000.0,203000.0,204000.0,202000.0,212000.0,220000.0,224000.0,221000.0,222000.0,226000.0,226000.0,237000.0,247000.0,254000.0,251000.0,244000.0,233000.0,220000,222250.0,top producer
149000.0,165000.0,166000.0,175000.0,182000.0,197000.0,223000.0,235000.0,232000.0,211000.0,221000.0,217000.0,203000.0,179000.0,218000.0,233000.0,234000.0,211000.0,208000.0,204000,203150.0,top producer
119000.0,131000.0,147000.0,155000.0,170000.0,184000.0,207000.0,213000.0,206000.0,209000.0,227000.0,226000.0,235000.0,234000.0,228000.0,224000.0,215000.0,215000.0,219000.0,214000,198900.0,top producer
151000.0,157000.0,162000.0,165000.0,166000.0,169000.0,182000.0,194000.0,189000.0,188000.0,202000.0,211000.0,196000.0,216000.0,230000.0,233000.0,235000.0,231000.0,228000.0,229000,196700.0,top producer
104000.0,105000.0,105000.0,106000.0,111000.0,112000.0,119000.0,126000.0,134000.0,142000.0,148000.0,152000.0,167000.0,178000.0,183000.0,195000.0,207000.0,216000.0,228000.0,230000,153400.0,top producer
110000.0,127000.0,134000.0,131000.0,134000.0,137000.0,142000.0,147000.0,151000.0,143000.0,156000.0,152000.0,149000.0,163000.0,171000.0,174000.0,185000.0,186000.0,187000.0,169000,152400.0,top producer
186000.0,168000.0,163000.0,152000.0,145000.0,145000.0,143000.0,144000.0,136000.0,137000.0,135000.0,135000.0,135000.0,136000.0,138000.0,135000.0,136000.0,138000.0,134000.0,127000,143400.0,top producer
115000.0,117000.0,115000.0,123000.0,128000.0,135000.0,135000.0,143000.0,145000.0,145000.0,146000.0,145000.0,144000.0,153000.0,158000.0,158000.0,157000.0,159000.0,162000.0,161000,142200.0,top producer
100000.0,103000.0,104000.0,105000.0,101000.0,107000.0,113000.0,122000.0,127000.0,137000.0,142000.0,137000.0,143000.0,155000.0,158000.0,167000.0,165000.0,164000.0,162000.0,152000,133200.0,top producer
112000.0,119000.0,120000.0,126000.0,124000.0,128000.0,132000.0,129000.0,125000.0,127000.0,131000.0,132000.0,134000.0,136000.0,137000.0,137000.0,137000.0,135000.0,137000.0,130000,129400.0,top producer
50400.0,10100.0,59800.0,107000.0,114000.0,115000.0,115000.0,115000.0,118000.0,108000.0,114000.0,112000.0,101000.0,121000.0,132000.0,147000.0,151000.0,147000.0,153000.0,130000,111015.0,top producer
75200.0,79200.0,80200.0,87700.0,90500.0,98500.0,102000.0,106000.0,109000.0,105000.0,106000.0,105000.0,96900.0,84100.0,95100.0,101000.0,101000.0,90600.0,88700.0,93800,94775.0,top producer
90500.0,91300.0,89000.0,78400.0,70900.0,63500.0,63300.0,65100.0,64400.0,65600.0,77900.0,83300.0,90400.0,101000.0,114000.0,117000.0,127000.0,131000.0,142000.0,146000,93580.0,top producer
104000.0,99800.0,97700.0,97300.0,97400.0,99400.0,99000.0,100000.0,87600.0,83900.0,79600.0,80300.0,80200.0,79900.0,78800.0,78700.0,77600.0,72500.0,71400.0,67500,86630.0,top producer
136000.0,119000.0,112000.0,100000.0,87400.0,81600.0,73700.0,74700.0,74600.0,75500.0,76400.0,76300.0,76800.0,79500.0,80200.0,81000.0,83000.0,81600.0,81300.0,76900,86375.0,top producer
105000.0,16600.0,24000.0,27300.0,30200.0,31300.0,32700.0,65500.0,110000.0,131000.0,135000.0,134000.0,116000.0,80400.0,104000.0,97500.0,101000.0,105000.0,118000.0,120000,84225.0,top producer
73200.0,81700.0,78000.0,74100.0,75000.0,76100.0,75700.0,75800.0,78300.0,69300.0,72800.0,71900.0,65900.0,77500.0,86300.0,94400.0,100000.0,97700.0,101000.0,87100,80590.0,top producer
48800.0,52800.0,54200.0,56400.0,58300.0,64500.0,70100.0,73700.0,74600.0,72800.0,76100.0,77200.0,80500.0,83900.0,88500.0,91500.0,90300.0,90100.0,93100.0,89700,74355.0,top producer
48400.0,50200.0,54300.0,57000.0,62400.0,66900.0,72000.0,77500.0,79700.0,80100.0,82300.0,84500.0,81300.0,84300.0,87100.0,84700.0,86200.0,82900.0,82900.0,80800,74275.0,top producer
48200.0,46500.0,48400.0,49400.0,51300.0,60100.0,65700.0,67600.0,73600.0,76500.0,73300.0,73000.0,69100.0,74300.0,76200.0,79500.0,84600.0,87600.0,93600.0,99200,69885.0,top producer
54900.0,55500.0,56600.0,59800.0,59200.0,59800.0,58700.0,57700.0,57200.0,59300.0,56500.0,57000.0,60900.0,64400.0,64700.0,76900.0,79700.0,82300.0,87500.0,88200,64840.0,top producer
60500.0,67400.0,67400.0,68500.0,66400.0,66700.0,74500.0,66200.0,63600.0,59500.0,57600.0,61500.0,60600.0,58700.0,68000.0,62200.0,61100.0,61300.0,66600.0,63000,64065.0,top producer
26600.0,26800.0,29200.0,28700.0,28300.0,28700.0,29500.0,40100.0,46000.0,53200.0,59200.0,63000.0,67700.0,71900.0,87900.0,93100.0,102000.0,113000.0,133000.0,140000,63395.0,top producer
